Metadata_Plate	Metadata_Well	Metadata_Site	cell_count	Metadata_plate_map_name	Metadata_clone_number	Metadata_plate_ID	Metadata_plate_filename	Metadata_treatment
217762	C08	10	1342	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	11	1443	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	12	1335	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	13	1060	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	14	1380	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	15	1123	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	16	1214	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	17	1249	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C09	1	1792	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	2	1277	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	3	1458	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	4	1228	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	5	1107	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	6	1119	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	7	1603	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	8	1166	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	9	858	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	10	1124	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	11	1031	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	12	957	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	13	854	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	14	1405	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	15	979	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	16	1057	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C09	17	1042	217762	WT002	217762	20191120-20191115-LoDensity	DMSO
217762	C10	1	1237	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	2	1168	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	3	1386	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	4	974	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	5	863	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	6	1369	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	7	817	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	8	1000	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	9	1182	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	10	1376	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	11	1155	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	12	1004	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	13	1215	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	14	1159	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	15	889	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	16	810	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C10	17	1034	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C11	1	832	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C11	2	1096	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C11	3	1148	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C11	4	836	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C11	5	872	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C11	6	1030	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C11	7	691	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	C11	8	749	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
